TileId,TileMinX,TileMaxX,TileMinY,TileMaxY,FppMinX,FppMaxX,FppMinY,FppMaxY,FspMinX,FspMaxX,FspMinY,FspMaxY,MinDtf,MaxDtf,NumOfRels,NumOfFpps
1,-68753.2057939356,-63753.2057939356,1781182.9445651,1786182.9445651,-68753.2057939356,-63753.2057939356,1781182.9445651,1785102.9445651,-50663.2057939356,-48123.2057939356,1792952.9445651,1793932.9445651,11.466492,14.999603,13757,12811
2,-68753.2057939356,-63753.2057939356,1796182.9445651,1801182.9445651,-65003.2057939356,-63753.2057939356,1800242.9445651,1801182.9445651,-61663.2057939356,-60083.2057939356,1799132.9445651,1800132.9445651,7.6350403,14.999359,15385,6533
3,-68753.2057939356,-63753.2057939356,1801182.9445651,1806182.9445651,-65773.2057939356,-64203.2057939356,1801182.9445651,1801962.9445651,-61663.2057939356,-60853.2057939356,1799942.9445651,1800132.9445651,10.474213,14.999756,5771,3101
4,-63753.2057939356,-58753.2057939356,1781182.9445651,1786182.9445651,-63753.2057939356,-59573.2057939356,1782402.9445651,1786182.9445651,-50663.2057939356,-48123.2057939356,1792952.9445651,1793932.9445651,9.725342,15.0,31449,17067
5,-63753.2057939356,-58753.2057939356,1786182.9445651,1791182.9445651,-60533.2057939356,-58753.2057939356,1786182.9445651,1788132.9445651,-50663.2057939356,-48123.2057939356,1792952.9445651,1793932.9445651,8.209625,14.999817,26275,18755
6,-63753.2057939356,-58753.2057939356,1796182.9445651,1801182.9445651,-63753.2057939356,-58753.2057939356,1797732.9445651,1801182.9445651,-61663.2057939356,-55793.2057939356,1796342.9445651,1800132.9445651,0.01,15.0,286603,60022
7,-63753.2057939356,-58753.2057939356,1801182.9445651,1806182.9445651,-63023.2057939356,-60543.2057939356,1801182.9445651,1802562.9445651,-61663.2057939356,-60083.2057939356,1799132.9445651,1800132.9445651,5.525635,14.999298,10652,4377
8,-58753.2057939356,-53753.2057939356,1786182.9445651,1791182.9445651,-58753.2057939356,-53753.2057939356,1786552.9445651,1791182.9445651,-50663.2057939356,-48123.2057939356,1792952.9445651,1793932.9445651,5.7917786,15.0,142734,88060
9,-58753.2057939356,-53753.2057939356,1791182.9445651,1796182.9445651,-57883.2057939356,-53753.2057939356,1791182.9445651,1796182.9445651,-58713.2057939356,-48123.2057939356,1792952.9445651,1798032.9445651,0.01,15.0,226978,70739
10,-58753.2057939356,-53753.2057939356,1796182.9445651,1801182.9445651,-58753.2057939356,-53753.2057939356,1796182.9445651,1799532.9445651,-61663.2057939356,-48293.2057939356,1793442.9445651,1800132.9445651,0.01,14.9999695,442352,54736
11,-53753.2057939356,-48753.2057939356,1786182.9445651,1791182.9445651,-53753.2057939356,-48753.2057939356,1787372.9445651,1791182.9445651,-51363.2057939356,-48123.2057939356,1792952.9445651,1794352.9445651,1.907135,14.9999695,364110,142237
12,-53753.2057939356,-48753.2057939356,1791182.9445651,1796182.9445651,-53753.2057939356,-48753.2057939356,1791182.9445651,1796182.9445651,-57643.2057939356,-48123.2057939356,1792952.9445651,1797322.9445651,0.01,15.0,596205,152440
13,-53753.2057939356,-48753.2057939356,1796182.9445651,1801182.9445651,-53753.2057939356,-48753.2057939356,1796182.9445651,1797262.9445651,-56393.2057939356,-48293.2057939356,1793442.9445651,1797032.9445651,4.70105,14.999939,40586,12375
14,-48753.2057939356,-43753.2057939356,1786182.9445651,1791182.9445651,-48753.2057939356,-47793.2057939356,1789152.9445651,1791182.9445651,-51363.2057939356,-48123.2057939356,1792952.9445651,1794352.9445651,1.3033447,14.999664,23842,9248
15,-48753.2057939356,-43753.2057939356,1791182.9445651,1796182.9445651,-48753.2057939356,-43753.2057939356,1791182.9445651,1796182.9445651,-51363.2057939356,-47973.2057939356,1792812.9445651,1794352.9445651,0.01,14.999939,392628,123893
16,-48753.2057939356,-43753.2057939356,1796182.9445651,1801182.9445651,-48753.2057939356,-43753.2057939356,1796182.9445651,1797722.9445651,-50783.2057939356,-47973.2057939356,1792812.9445651,1794262.9445651,2.8450012,14.999817,58212,20541
17,-43753.2057939356,-38753.2057939356,1791182.9445651,1796182.9445651,-43753.2057939356,-39533.2057939356,1791862.9445651,1796182.9445651,-51363.2057939356,-47973.2057939356,1792812.9445651,1794352.9445651,0.9981384,15.0,443592,152013
18,-43753.2057939356,-38753.2057939356,1796182.9445651,1801182.9445651,-43753.2057939356,-40263.2057939356,1796182.9445651,1797842.9445651,-50663.2057939356,-47973.2057939356,1792812.9445651,1793932.9445651,5.467163,14.999908,119347,43957
